target,first_time_on_hero_count_diff,low_hero_exp_count_team_diff,matches_played_diff,winrate_diff,kills_per_min_diff,deaths_per_min_diff,assists_per_min_diff,networth_per_min_diff,damage_per_min_diff,damage_taken_per_min_diff,obj_damage_per_min_diff,crit_shot_rate_diff,accuracy_diff
1,-2,0,-7.376984126984128,-0.20031621385129622,-0.05268173548153213,0.05305384917765524,-0.03913803672905164,-45.94268890581316,-52.20864672771006,27.86699641204484,6.044391740275799,-0.02080920471441164,-0.09527025108782616
1,-2,0,-7.376984126984128,-0.20031621385129622,-0.05268173548153213,0.05305384917765524,-0.03913803672905164,-45.94268890581316,-52.20864672771006,27.86699641204484,6.044391740275799,-0.02080920471441164,-0.09527025108782616
0,0,1,-103.16666666666669,0.0952146404362123,0.022540163870347407,-0.033881990745026166,0.06391499858747729,58.52412150771033,45.93396508127137,-60.81903464991228,24.12193428959597,0.036654153432950115,0.0019721178146887564
1,0,0,87.5,-0.03907740138800736,-0.02926933536560372,-0.002211402168364046,-0.04907537677536511,-12.86591409077505,-34.57046769394924,-54.758789409515316,15.550302129566376,-0.004585521609469345,0.003798659355321421
1,-1,0,9.0,-0.038126597637467174,0.03377128747441174,0.021625300049440965,0.00785830840366536,117.52468441299914,126.46375901312672,14.2907373850461,21.670147624600133,0.009591055485755742,0.020210740381576164
1,-1,-1,-138.93181818181816,-0.016352475731741922,-0.02549788689672411,0.03181256650494721,0.07016702687381637,-109.19326043229762,-206.82839472618298,-19.368396711143532,-109.2775016061392,-0.01624319330043611,-0.03465845994346117
0,1,1,110.41666666666667,0.040414404217976374,-0.0175922307805296,0.05111365712151497,-0.0689547868237379,-32.6770088170631,93.33176795678946,34.183351148513225,80.62965925441725,0.0047244712537782285,0.07111037456087865
1,-1,1,-23.166666666666664,0.13635449624200668,-0.040380244846054875,0.0003312570868342912,0.016038637824347723,6.553007122109648,-77.37386912003592,-79.343329918515,-29.439289431635927,-0.021161990544604242,-0.0633171673764869
1,0,1,73.66666666666667,0.06211629229433646,0.04098041569988273,0.022507776992714862,-0.024315372449550232,77.76631673491556,15.67011044412493,123.98147237229182,20.14172314698766,-0.01937025561345615,-0.005857114978491618
1,0,-1,367.0,-0.01194221547459784,-0.010573069758385872,-0.026534949472714064,0.00965210874069422,15.460457709686807,21.10863334806686,39.75843882318384,-34.0486291125101,-0.012016620741855,-0.04091131074113663
1,0,-1,14.621637426900588,-0.025352258083278345,0.03708349226315211,0.03388512203439481,0.02205351861962307,11.707140498099307,22.56700219085144,126.03811307165677,29.100318992260696,0.03356213572071168,0.0615869719263194
0,0,-1,22.05833333333333,0.008016767270288327,-0.012156010884197432,0.012721286967041362,-0.05046024864070009,-32.19547924002791,-217.41243137055903,27.89825767078605,-5.542300313323253,-0.019319150399559143,0.006667530450325199
0,0,0,11.666666666666657,-0.07546029104459995,-0.029353137938047807,-0.02943416073286903,0.01589440892261368,-83.86369463487813,-239.4308184995673,-74.27897789248618,-40.62217100000663,0.042064378980485276,0.09616000598350827
0,0,0,-38.0,-0.042539247592438933,0.013401429727023628,0.05843356324311724,0.014787631039167526,-2.08796909692569,141.77873221680034,228.06965893875895,-30.65645227169668,0.002922000029151911,-0.10077272657081249
0,-1,-1,96.57070707070707,-0.06363622305295114,0.005190860647315193,-0.058399280945931165,-0.05745035830040779,-6.165237202703793,24.568374544315475,-146.90904782582356,-60.90857990662221,-0.0314036952696706,0.055604619826696455
0,0,-2,-6.333333333333329,0.06441239803238885,0.07435566368425059,0.017880995580888265,0.1080947170415342,116.9170291148339,191.44933464987048,120.35842378501934,30.641008967348853,-0.007271953961938832,0.08479626841892096
1,1,1,98.58226495726497,0.05364593272725665,0.016846962918062425,-0.005838224026594729,-0.02578557559981498,27.31036376224597,20.74043462335635,-44.08557630847554,10.45429435218432,-0.007511001923806354,0.013481093096482821
0,0,1,-3.1666666666666643,-0.08264783089307104,-0.030866663580115056,0.019654596532989316,-0.019483236599937725,6.131353123896815,-97.95301457403332,61.01405855204598,-34.186929745284004,-0.0032478861048587937,-0.02078453306328487
0,0,0,62.50000000000001,-0.08123161081777164,-0.05875641133815243,0.015343366828572735,-0.027712864966386253,-50.0663979649612,-199.58714916136307,-91.73799655505422,11.384831639517131,0.012769760887956672,-0.040856378764289825
1,1,1,213.6,0.021499038946484528,0.03428289103820109,0.0511453014538511,0.037754511444317074,24.038867255281502,184.8048692633921,124.23830691026035,86.59406318851993,-0.02501133256930399,0.00042676903274618816
1,0,0,3.8333333333333357,0.14743847897638124,0.010631459909197893,-0.03534780260250325,0.0341527108534283,61.906531589758515,39.112032166027234,57.22379871508656,14.869289059609969,0.009955614150840425,0.013671001097856461
0,-1,1,1.4266666666666659,-0.22402217665375562,-0.07542330783241918,-0.00043220716792569114,-0.023860738798795245,-165.31206107017783,-297.1210092332716,-88.44746840953178,-77.33107967045495,0.008679095063224646,-0.07232367034984177
1,0,0,-28.0,-0.0016560314129868692,-0.05044658984696221,0.003080353530244495,0.04277634444498768,-24.552994566969573,-91.41331639301882,73.81437360030736,55.80152331651385,-0.02386882337387683,-0.08387410150694097
0,0,-1,201.66666666666669,-0.09024300081379233,0.006745061721735668,-0.0076132175803664826,-0.0346361729135346,-44.48703724190136,-2.9000804867882835,-18.79008809896891,-79.84059783908654,0.04046667906808102,0.06941746559448675
1,-2,0,-7.376984126984128,-0.20031621385129622,-0.05268173548153213,0.05305384917765524,-0.03913803672905164,-45.94268890581316,-52.20864672771006,27.86699641204484,6.044391740275799,-0.020809204714411653,-0.09527025108782616
0,0,1,-103.16666666666669,0.0952146404362123,0.022540163870347407,-0.033881990745026166,0.06391499858747729,58.52412150771033,45.93396508127137,-60.81903464991228,24.12193428959597,0.036654153432950115,0.0019721178146887564
1,0,0,87.5,-0.03907740138800736,-0.02926933536560372,-0.002211402168364046,-0.04907537677536511,-12.86591409077505,-34.57046769394924,-54.758789409515316,15.550302129566376,-0.004585521609469317,0.00379865935532131
1,-1,0,9.0,-0.038126597637467174,0.03377128747441174,0.021625300049440965,0.00785830840366536,117.52468441299914,126.46375901312672,14.2907373850461,21.670147624600133,0.009591055485755742,0.020210740381576164
1,-1,-1,-138.7651515151515,-0.016088246718271693,-0.02552535437804415,0.031770056377384975,0.07033556061145307,-108.97667224633165,-205.87830791714123,-19.257232552009327,-109.12959510336592,-0.01628157592045279,-0.03467440060122273
0,1,1,110.41666666666667,0.040414404217976374,-0.0175922307805296,0.05111365712151497,-0.0689547868237379,-32.6770088170631,93.33176795678946,34.183351148513225,80.62965925441725,0.004724471253778173,0.07111037456087888
